"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","109,775.339","2,389,707.920","spinFact","1","1","0","27.552","27.552","27.552","27.552","2","1","1","3616"
"2","109,783.596","2,389,696.742","transpose","1","2","5.44","136,156.243","67,869.755","68,078.121","68,286.488","3","1","1","3616"
"3","109,790.729","2,389,686.507","highPassFilter","1","1","0.7","17,440.388","17,440.388","17,440.388","17,440.388","3","1","1","3616"
"4","111,176.378","2,387,471.613","bitReverse","1","1","1.65","41,358.502","41,358.502","41,358.502","41,358.502","4","1","1","3616"
"5","111,185.329","2,389,429.315","butterfly","1","11","14.5","362,688.239","21,581.231","32,971.658","51,031.924","6","1","1","3616"
"6","111,191.794","1,745.321","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3616"
"7","112,965.428","2,385,888.386","bitReverse","1","1","1.69","42,315.106","42,315.106","42,315.106","42,315.106","4","1","1","3616"
"8","112,974.011","2,387,640.633","butterfly","1","11","14.5","362,690.252","21,527.471","32,971.841","50,994.708","6","1","1","3616"
"9","112,979.839","226.916","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3616"
"10","113,231.895","2,385,821.074","bitReverse","1","1","1.69","42,375.841","42,375.841","42,375.841","42,375.841","4","1","1","3616"
"11","113,239.905","2,387,374.739","butterfly","1","11","14.51","362,805.419","21,583.982","32,982.310","51,092.659","6","1","1","3616"
"12","113,245.613","2,387,369.031","norm","1","1","0.69","17,333.285","17,333.285","17,333.285","17,333.285","2","1","1","3616"
"13","113,555.486","2,385,709.163","bitReverse","1","1","1.69","42,291.745","42,291.745","42,291.745","42,291.745","4","1","1","3616"
"14","113,563.433","2,387,051.211","butterfly","1","11","14.5","362,692.110","21,574.287","32,972.010","51,024.308","6","1","1","3616"
"15","113,569.193","2,387,045.451","norm","1","1","0.69","17,324.644","17,324.644","17,324.644","17,324.644","2","1","1","3616"
