"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","109,299.521","2,380,879.233","spinFact","1","1","0","27.456","27.456","27.456","27.456","2","1","1","4068"
"2","109,307.929","2,380,867.881","transpose","1","2","5.43","135,284.668","66,938.370","67,642.334","68,346.298","3","1","1","4068"
"3","109,315.290","2,380,857.280","highPassFilter","1","1","0.69","17,197.574","17,197.574","17,197.574","17,197.574","3","1","1","4068"
"4","110,693.689","2,378,659.855","bitReverse","1","1","1.66","41,417.928","41,417.928","41,417.928","41,417.928","4","1","1","4068"
"5","110,702.651","2,380,632.111","butterfly","1","11","14.36","357,872.942","21,305.040","32,533.903","50,342.456","6","1","1","4068"
"6","110,709.094","1,711.331","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","4068"
"7","112,448.711","2,377,105.206","bitReverse","1","1","1.66","41,376.295","41,376.295","41,376.295","41,376.295","4","1","1","4068"
"8","112,457.520","2,378,877.242","butterfly","1","11","14.36","357,860.494","21,312.496","32,532.772","50,340.985","6","1","1","4068"
"9","112,463.490","225.176","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","4068"
"10","112,714.290","2,377,036.964","bitReverse","1","1","1.66","41,378.663","41,378.663","41,378.663","41,378.663","4","1","1","4068"
"11","112,722.105","2,378,612.657","butterfly","1","11","14.57","362,891.127","21,637.199","32,990.102","51,287.220","6","1","1","4068"
"12","112,727.850","2,378,606.912","norm","1","1","0.7","17,327.174","17,327.174","17,327.174","17,327.174","2","1","1","4068"
"13","113,038.031","2,376,923.628","bitReverse","1","1","1.7","42,310.274","42,310.274","42,310.274","42,310.274","4","1","1","4068"
"14","113,045.921","2,378,288.841","butterfly","1","11","14.61","364,022.894","21,573.839","33,092.990","51,255.124","6","1","1","4068"
"15","113,051.752","2,378,283.010","norm","1","1","0.7","17,327.334","17,327.334","17,327.334","17,327.334","2","1","1","4068"
