"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","105,002.254","2,370,548.306","spinFact","1","1","0","27.647","27.647","27.647","27.647","2","1","1","940"
"2","105,010.635","2,370,536.989","transpose","1","2","5.44","134,698.128","66,585.868","67,349.064","68,112.260","3","1","1","940"
"3","105,017.678","2,370,526.867","highPassFilter","1","1","0.7","17,226.696","17,226.696","17,226.696","17,226.696","3","1","1","940"
"4","106,396.823","2,368,319.107","bitReverse","1","1","1.67","41,438.156","41,438.156","41,438.156","41,438.156","4","1","1","940"
"5","106,405.542","2,370,284.007","butterfly","1","11","14.44","357,745.824","21,286.740","32,522.347","50,331.583","6","1","1","940"
"6","106,412.100","1,718.708","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","940"
"7","108,158.483","2,366,764.024","bitReverse","1","1","1.67","41,375.949","41,375.949","41,375.949","41,375.949","4","1","1","940"
"8","108,167.190","2,368,522.359","butterfly","1","11","14.45","357,851.871","21,254.580","32,531.988","50,266.463","6","1","1","940"
"9","108,173.078","222.082","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","940"
"10","108,419.877","2,366,700.772","bitReverse","1","1","1.67","41,404.237","41,404.237","41,404.237","41,404.237","4","1","1","940"
"11","108,427.849","2,368,261.700","butterfly","1","11","14.6","361,524.267","21,596.178","32,865.842","50,971.260","6","1","1","940"
"12","108,433.500","2,368,256.049","norm","1","1","0.7","17,316.999","17,316.999","17,316.999","17,316.999","2","1","1","940"
"13","108,741.259","2,366,590.845","bitReverse","1","1","1.71","42,311.048","42,311.048","42,311.048","42,311.048","4","1","1","940"
"14","108,749.149","2,367,940.400","butterfly","1","11","14.64","362,664.550","21,584.914","32,969.504","50,974.684","6","1","1","940"
"15","108,754.932","2,367,934.617","norm","1","1","0.7","17,326.663","17,326.663","17,326.663","17,326.663","2","1","1","940"
