"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","93,371.510","2,393,545.410","spinFact","1","1","0","27.488","27.488","27.488","27.488","2","1","1","3140"
"2","93,379.568","2,393,534.682","transpose","1","2","5.5","136,772.025","68,318.236","68,386.012","68,453.789","3","1","1","3140"
"3","93,386.780","2,393,524.151","highPassFilter","1","1","0.7","17,430.981","17,430.981","17,430.981","17,430.981","3","1","1","3140"
"4","94,743.818","2,391,338.202","bitReverse","1","1","1.66","41,398.473","41,398.473","41,398.473","41,398.473","4","1","1","3140"
"5","94,752.878","2,393,296.653","butterfly","1","11","14.56","362,162.309","21,576.560","32,923.846","51,005.078","6","1","1","3140"
"6","94,759.486","1,768.140","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3140"
"7","96,557.150","2,389,731.716","bitReverse","1","1","1.7","42,318.533","42,318.533","42,318.533","42,318.533","4","1","1","3140"
"8","96,566.228","2,391,483.303","butterfly","1","11","14.58","362,687.842","21,573.328","32,971.622","51,026.487","6","1","1","3140"
"9","96,572.225","232.597","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3140"
"10","96,832.857","2,389,654.234","bitReverse","1","1","1.7","42,315.972","42,315.972","42,315.972","42,315.972","4","1","1","3140"
"11","96,841.111","2,391,208.420","butterfly","1","11","14.58","362,645.987","21,538.449","32,967.817","51,064.855","6","1","1","3140"
"12","96,846.987","2,391,202.544","norm","1","1","0.7","17,310.950","17,310.950","17,310.950","17,310.950","2","1","1","3140"
"13","97,165.891","2,389,532.542","bitReverse","1","1","1.7","42,381.828","42,381.828","42,381.828","42,381.828","4","1","1","3140"
"14","97,174.073","2,390,875.458","butterfly","1","11","14.57","362,521.540","21,583.568","32,956.503","51,006.999","6","1","1","3140"
"15","97,180.085","2,390,869.446","norm","1","1","0.7","17,322.694","17,322.694","17,322.694","17,322.694","2","1","1","3140"
