"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","95,640.305","2,391,068.644","spinFact","1","1","0","27.584","27.584","27.584","27.584","2","1","1","3756"
"2","95,648.349","2,391,058.035","transpose","1","2","5.49","136,461.686","68,228.795","68,230.843","68,232.891","3","1","1","3756"
"3","95,655.519","2,391,047.501","highPassFilter","1","1","0.7","17,441.093","17,441.093","17,441.093","17,441.093","3","1","1","3756"
"4","97,018.558","2,388,848.767","bitReverse","1","1","1.66","41,387.911","41,387.911","41,387.911","41,387.911","4","1","1","3756"
"5","97,027.622","2,390,856.692","butterfly","1","11","14.61","363,538.610","21,638.895","33,048.964","51,270.196","6","1","1","3756"
"6","97,034.214","1,755.881","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3756"
"7","98,820.095","2,387,253.739","bitReverse","1","1","1.7","42,317.954","42,317.954","42,317.954","42,317.954","4","1","1","3756"
"8","98,829.238","2,389,055.076","butterfly","1","11","14.63","363,916.752","21,585.456","33,083.341","51,242.323","6","1","1","3756"
"9","98,835.335","222.349","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3756"
"10","99,083.255","2,387,189.393","bitReverse","1","1","1.7","42,385.698","42,385.698","42,385.698","42,385.698","4","1","1","3756"
"11","99,091.258","2,388,793.056","butterfly","1","11","14.63","363,969.041","21,637.871","33,088.094","51,259.604","6","1","1","3756"
"12","99,097.232","2,388,787.082","norm","1","1","0.7","17,326.245","17,326.245","17,326.245","17,326.245","2","1","1","3756"
"13","99,414.868","2,387,071.987","bitReverse","1","1","1.7","42,333.987","42,333.987","42,333.987","42,333.987","4","1","1","3756"
"14","99,423.035","2,388,461.279","butterfly","1","11","14.63","364,027.055","21,637.103","33,093.368","51,211.732","6","1","1","3756"
"15","99,429.133","2,388,455.181","norm","1","1","0.7","17,301.605","17,301.605","17,301.605","17,301.605","2","1","1","3756"
