"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","108,191.210","2,394,007.628","spinFact","1","1","0","27.616","27.616","27.616","27.616","2","1","1","3160"
"2","108,199.640","2,393,996.498","transpose","1","2","5.43","135,848.991","67,870.624","67,924.495","67,978.367","3","1","1","3160"
"3","108,207.077","2,393,986.091","highPassFilter","1","1","0.7","17,468.262","17,468.262","17,468.262","17,468.262","3","1","1","3160"
"4","109,564.284","2,391,809.636","bitReverse","1","1","1.65","41,375.690","41,375.690","41,375.690","41,375.690","4","1","1","3160"
"5","109,573.022","2,393,615.777","butterfly","1","11","14.54","364,015.424","21,638.640","33,092.311","51,281.622","6","1","1","3160"
"6","109,579.674","1,770.323","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3160"
"7","111,378.860","2,390,195.697","bitReverse","1","1","1.69","42,352.165","42,352.165","42,352.165","42,352.165","4","1","1","3160"
"8","111,387.234","2,391,801.565","butterfly","1","11","14.55","364,132.448","21,600.784","33,102.949","51,250.294","6","1","1","3160"
"9","111,393.485","232.290","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3160"
"10","111,651.065","2,390,120.363","bitReverse","1","1","1.69","42,381.220","42,381.220","42,381.220","42,381.220","4","1","1","3160"
"11","111,659.064","2,391,529.735","butterfly","1","11","14.54","364,052.767","21,621.552","33,095.706","51,246.390","6","1","1","3160"
"12","111,664.955","2,391,523.844","norm","1","1","0.69","17,328.518","17,328.518","17,328.518","17,328.518","2","1","1","3160"
"13","111,979.505","2,390,002.669","bitReverse","1","1","1.69","42,334.853","42,334.853","42,334.853","42,334.853","4","1","1","3160"
"14","111,987.418","2,391,201.381","butterfly","1","11","14.55","364,112.062","21,596.048","33,101.096","51,243.158","6","1","1","3160"
"15","111,993.617","2,391,195.182","norm","1","1","0.69","17,323.334","17,323.334","17,323.334","17,323.334","2","1","1","3160"
