"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","77,612.376","37,447.888","spinFact","1","1","0.02","18.592","18.592","18.592","18.592","2","1","1","3884"
"2","77,620.622","37,436.769","transpose","1","2","1.15","1,325.184","661.440","662.592","663.744","3","1","1","3884"
"3","77,627.489","37,426.670","highPassFilter","1","1","0.24","279.808","279.808","279.808","279.808","3","1","1","3884"
"4","77,693.860","36,695.611","bitReverse","1","1","0.59","676.992","676.992","676.992","676.992","4","1","1","3884"
"5","77,702.267","37,550.615","butterfly","1","8","3.52","4,052.704","338.400","506.588","789.216","6","1","1","3884"
"6","77,708.522","1,773.870","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3884"
"7","79,511.785","35,040.376","bitReverse","1","1","0.58","673.568","673.568","673.568","673.568","4","1","1","3884"
"8","79,520.204","35,732.678","butterfly","1","8","3.52","4,059.104","338.464","507.388","788.768","6","1","1","3884"
"9","79,526.166","173.246","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3884"
"10","79,723.382","34,987.603","bitReverse","1","1","0.58","674.080","674.080","674.080","674.080","4","1","1","3884"
"11","79,731.786","35,521.096","butterfly","1","8","3.48","4,013.567","339.551","501.695","739.264","6","1","1","3884"
"12","79,737.737","35,515.145","norm","1","1","0.24","275.647","275.647","275.647","275.647","2","1","1","3884"
"13","79,966.120","34,916.844","bitReverse","1","1","0.59","675.520","675.520","675.520","675.520","4","1","1","3884"
"14","79,974.115","35,278.767","butterfly","1","8","3.52","4,053.504","339.168","506.688","789.152","6","1","1","3884"
"15","79,979.856","35,273.026","norm","1","1","0.24","276.704","276.704","276.704","276.704","2","1","1","3884"
