"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","80,575.384","37,265.314","spinFact","1","1","0.02","18.208","18.208","18.208","18.208","2","1","1","3160"
"2","80,583.484","37,254.345","transpose","1","2","1.12","1,322.592","660.672","661.296","661.920","3","1","1","3160"
"3","80,590.800","37,243.542","highPassFilter","1","1","0.24","278.784","278.784","278.784","278.784","3","1","1","3160"
"4","80,656.028","36,530.100","bitReverse","1","1","0.58","678.369","678.369","678.369","678.369","4","1","1","3160"
"5","80,664.657","37,260.693","butterfly","1","8","3.44","4,053.474","337.217","506.684","791.073","6","1","1","3160"
"6","80,670.983","1,705.519","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3160"
"7","82,405.673","34,940.947","bitReverse","1","1","0.58","678.112","678.112","678.112","678.112","4","1","1","3160"
"8","82,414.170","35,511.180","butterfly","1","8","3.44","4,061.859","338.496","507.732","788.864","6","1","1","3160"
"9","82,420.163","177.772","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3160"
"10","82,621.887","34,879.222","bitReverse","1","1","0.57","671.201","671.201","671.201","671.201","4","1","1","3160"
"11","82,630.414","35,294.936","butterfly","1","8","3.4","4,009.315","338.849","501.164","756.737","6","1","1","3160"
"12","82,636.418","35,288.932","norm","1","1","0.23","276.192","276.192","276.192","276.192","2","1","1","3160"
"13","82,869.829","34,798.129","bitReverse","1","1","0.57","672.609","672.609","672.609","672.609","4","1","1","3160"
"14","82,878.117","35,047.233","butterfly","1","8","3.44","4,052.195","339.808","506.524","789.473","6","1","1","3160"
"15","82,883.899","35,041.451","norm","1","1","0.23","275.233","275.233","275.233","275.233","2","1","1","3160"
