"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","77,811.593","38,518.058","spinFact","1","1","0.02","18.529","18.529","18.529","18.529","2","1","1","2572"
"2","77,820.147","38,506.241","transpose","1","2","1.15","1,337.217","661.376","668.608","675.841","3","1","1","2572"
"3","77,827.658","38,495.625","highPassFilter","1","1","0.24","281.952","281.952","281.952","281.952","3","1","1","2572"
"4","77,905.250","37,762.788","bitReverse","1","1","0.58","676.993","676.993","676.993","676.993","4","1","1","2572"
"5","77,914.107","38,502.671","butterfly","1","8","3.48","4,049.892","337.921","506.236","789.472","6","1","1","2572"
"6","77,920.583","1,833.915","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2572"
"7","79,784.573","36,044.873","bitReverse","1","1","0.58","675.777","675.777","675.777","675.777","4","1","1","2572"
"8","79,793.120","36,623.658","butterfly","1","8","3.49","4,058.594","339.296","507.324","789.345","6","1","1","2572"
"9","79,799.213","178.065","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2572"
"10","80,001.515","35,983.725","bitReverse","1","1","0.58","672.481","672.481","672.481","672.481","4","1","1","2572"
"11","80,010.035","36,406.743","butterfly","1","8","3.52","4,094.821","344.193","511.852","825.729","6","1","1","2572"
"12","80,015.975","36,400.803","norm","1","1","0.24","278.624","278.624","278.624","278.624","2","1","1","2572"
"13","80,250.687","35,904.158","bitReverse","1","1","0.59","690.465","690.465","690.465","690.465","4","1","1","2572"
"14","80,258.930","36,157.848","butterfly","1","8","3.54","4,125.316","342.400","515.664","813.793","6","1","1","2572"
"15","80,264.663","36,152.115","norm","1","1","0.24","279.265","279.265","279.265","279.265","2","1","1","2572"
