"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","28,537.039","69,354.508","spinFact","1","1","0,06","59.519","59.519","59.519","59.519","2","1","1","3156"
"2","28,544.543","69,344.221","transpose","1","2","1,3","1,272.737","633.329","636.368","639.408","3","1","1","3156"
"3","28,552.774","69,332.874","highPassFilter","1","1","0,49","483.700","483.700","483.700","483.700","3","1","1","3156"
"4","28,905.488","68,275.516","bitReverse","1","1","1,63","1,597.273","1,597.273","1,597.273","1,597.273","4","1","1","3156"
"5","28,915.358","69,069.110","butterfly","1","9","4,47","4,382.229","468.917","486.914","501.908","6","1","1","3156"
"6","28,921.804","398.539","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3156"
"7","29,348.565","68,006.435","bitReverse","1","1","1,62","1,586.201","1,586.201","1,586.201","1,586.201","4","1","1","3156"
"8","29,357.093","68,627.375","butterfly","1","9","4,51","4,417.140","473.300","490.793","504.436","6","1","1","3156"
"9","29,364.619","259.151","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3156"
"10","29,648.404","67,875.073","bitReverse","1","1","1,65","1,612.280","1,612.280","1,612.280","1,612.280","4","1","1","3156"
"11","29,656.628","68,327.840","butterfly","1","9","4,49","4,398.804","468.981","488.756","500.755","6","1","1","3156"
"12","29,662.673","68,321.795","norm","1","1","0,62","608.401","608.401","608.401","608.401","2","1","1","3156"
"13","29,921.914","67,781.810","bitReverse","1","1","1,64","1,602.073","1,602.073","1,602.073","1,602.073","4","1","1","3156"
"14","29,930.228","68,054.240","butterfly","1","9","4,58","4,487.538","470.357","498.615","602.961","6","1","1","3156"
"15","29,936.292","68,048.176","norm","1","1","0,5","488.212","488.212","488.212","488.212","2","1","1","3156"
