"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","28,391.348","66,825.169","spinFact","1","1","0,15","146.749","146.749","146.749","146.749","2","1","1","820"
"2","28,398.923","66,814.687","transpose","1","2","1,35","1,283.456","641.072","641.728","642.384","3","1","1","820"
"3","28,407.225","66,802.913","highPassFilter","1","1","0,48","461.940","461.940","461.940","461.940","3","1","1","820"
"4","28,834.320","65,657.817","bitReverse","1","1","1,68","1,603.512","1,603.512","1,603.512","1,603.512","4","1","1","820"
"5","28,882.549","66,429.874","butterfly","1","9","4,6","4,384.402","470.677","487.155","500.916","6","1","1","820"
"6","28,889.794","375.469","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","820"
"7","29,296.575","65,372.224","bitReverse","1","1","1,68","1,605.432","1,605.432","1,605.432","1,605.432","4","1","1","820"
"8","29,305.448","66,006.975","butterfly","1","9","4,62","4,403.089","454.549","489.232","507.315","6","1","1","820"
"9","29,312.730","230.052","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","820"
"10","29,569.253","65,271.682","bitReverse","1","1","1,69","1,613.688","1,613.688","1,613.688","1,613.688","4","1","1","820"
"11","29,577.807","65,734.616","butterfly","1","9","4,59","4,379.218","469.396","486.579","499.188","6","1","1","820"
"12","29,583.975","65,728.448","norm","1","1","0,64","607.409","607.409","607.409","607.409","2","1","1","820"
"13","29,923.159","65,101.969","bitReverse","1","1","1,68","1,598.008","1,598.008","1,598.008","1,598.008","4","1","1","820"
"14","29,931.825","65,380.598","butterfly","1","9","4,74","4,515.439","473.172","501.715","583.473","6","1","1","820"
"15","29,937.930","65,374.493","norm","1","1","0,51","488.948","488.948","488.948","488.948","2","1","1","820"
