"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","29,737.125","67,344.765","spinFact","1","1","0,15","149.980","149.980","149.980","149.980","2","1","1","2752"
"2","29,745.143","67,333.564","transpose","1","2","1,32","1,288.386","642.961","644.193","645.425","3","1","1","2752"
"3","29,753.277","67,321.890","highPassFilter","1","1","0,5","483.572","483.572","483.572","483.572","3","1","1","2752"
"4","30,207.600","66,128.513","bitReverse","1","1","1,65","1,603.769","1,603.769","1,603.769","1,603.769","4","1","1","2752"
"5","30,216.548","67,030.739","butterfly","1","9","4,47","4,350.969","450.005","483.441","500.693","6","1","1","2752"
"6","30,223.065","394.572","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2752"
"7","30,648.027","65,868.633","bitReverse","1","1","1,65","1,603.130","1,603.130","1,603.130","1,603.130","4","1","1","2752"
"8","30,656.847","66,590.440","butterfly","1","9","4,56","4,430.742","473.141","492.304","503.156","6","1","1","2752"
"9","30,664.287","265.533","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2752"
"10","30,956.824","65,734.530","bitReverse","1","1","1,67","1,619.546","1,619.546","1,619.546","1,619.546","4","1","1","2752"
"11","30,965.472","66,281.815","butterfly","1","9","4,51","4,388.983","470.421","487.664","500.500","6","1","1","2752"
"12","30,971.644","66,275.643","norm","1","1","0,62","607.761","607.761","607.761","607.761","2","1","1","2752"
"13","31,345.699","65,533.845","bitReverse","1","1","1,63","1,588.090","1,588.090","1,588.090","1,588.090","4","1","1","2752"
"14","31,354.377","65,892.910","butterfly","1","9","4,63","4,505.556","473.685","500.617","617.778","6","1","1","2752"
"15","31,360.504","65,886.783","norm","1","1","0,5","487.285","487.285","487.285","487.285","2","1","1","2752"
