"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","36,731.433","67,177.039","spinFact","1","1","0,05","56.094","56.094","56.094","56.094","2","1","1","3836"
"2","36,738.900","67,166.775","transpose","1","2","1,24","1,284.896","641.520","642.448","643.376","3","1","1","3836"
"3","36,747.198","67,155.128","highPassFilter","1","1","0,46","479.412","479.412","479.412","479.412","3","1","1","3836"
"4","37,095.993","66,091.212","bitReverse","1","1","1,54","1,603.447","1,603.447","1,603.447","1,603.447","4","1","1","3836"
"5","37,104.806","66,899.014","butterfly","1","9","4,22","4,387.796","469.044","487.532","500.660","6","1","1","3836"
"6","37,111.117","392.389","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3836"
"7","37,533.307","65,829.784","bitReverse","1","1","1,49","1,550.105","1,550.105","1,550.105","1,550.105","4","1","1","3836"
"8","37,541.853","66,461.967","butterfly","1","9","4,22","4,384.210","470.548","487.134","498.387","6","1","1","3836"
"9","37,548.956","258.052","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3836"
"10","37,831.507","65,702.415","bitReverse","1","1","1,54","1,603.352","1,603.352","1,603.352","1,603.352","4","1","1","3836"
"11","37,839.772","66,164.048","butterfly","1","9","4,34","4,509.744","473.812","501.082","603.185","6","1","1","3836"
"12","37,845.690","66,158.130","norm","1","1","0,59","608.529","608.529","608.529","608.529","2","1","1","3836"
"13","38,113.185","65,604.720","bitReverse","1","1","1,55","1,615.288","1,615.288","1,615.288","1,615.288","4","1","1","3836"
"14","38,121.408","65,882.412","butterfly","1","9","4,2","4,367.698","469.940","485.299","495.763","6","1","1","3836"
"15","38,127.352","65,876.468","norm","1","1","0,46","481.588","481.588","481.588","481.588","2","1","1","3836"
