"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","33,692.332","83,635.853","spinFact","1","1","0,13","150.684","150.684","150.684","150.684","2","1","1","2864"
"2","33,700.215","83,625.109","transpose","1","2","1,08","1,271.548","629.934","635.774","641.614","3","1","1","2864"
"3","33,708.217","83,613.750","highPassFilter","1","1","0,41","485.203","485.203","485.203","485.203","3","1","1","2864"
"4","34,146.187","82,429.519","bitReverse","1","1","1,36","1,602.675","1,602.675","1,602.675","1,602.675","4","1","1","2864"
"5","34,195.211","83,224.616","butterfly","1","9","3,73","4,380.294","469.107","486.699","501.490","6","1","1","2864"
"6","34,202.411","377.539","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2864"
"7","34,610.209","82,146.802","bitReverse","1","1","1,33","1,556.948","1,556.948","1,556.948","1,556.948","4","1","1","2864"
"8","34,618.961","82,800.866","butterfly","1","9","3,77","4,421.829","474.483","491.314","510.449","6","1","1","2864"
"9","34,626.184","265.331","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2864"
"10","34,918.639","82,015.552","bitReverse","1","1","1,38","1,621.331","1,621.331","1,621.331","1,621.331","4","1","1","2864"
"11","34,927.084","82,492.743","butterfly","1","9","3,77","4,425.861","473.843","491.762","503.250","6","1","1","2864"
"12","34,933.309","82,486.518","norm","1","1","0,52","606.447","606.447","606.447","606.447","2","1","1","2864"
"13","35,271.926","81,860.535","bitReverse","1","1","1,38","1,618.291","1,618.291","1,618.291","1,618.291","4","1","1","2864"
"14","35,280.596","82,139.231","butterfly","1","9","3,73","4,384.775","470.195","487.197","500.978","6","1","1","2864"
"15","35,286.716","82,133.111","norm","1","1","0,41","481.490","481.490","481.490","481.490","2","1","1","2864"
