"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","28,509.354","69,477.128","spinFact","1","1","0,16","152.636","152.636","152.636","152.636","2","1","1","3088"
"2","28,517.034","69,466.665","transpose","1","2","1,29","1,269.248","630.320","634.624","638.928","3","1","1","3088"
"3","28,525.487","69,454.740","highPassFilter","1","1","0,49","483.732","483.732","483.732","483.732","3","1","1","3088"
"4","28,956.129","68,294.216","bitReverse","1","1","1,64","1,607.928","1,607.928","1,607.928","1,607.928","4","1","1","3088"
"5","29,003.762","69,076.136","butterfly","1","9","4,47","4,382.544","469.588","486.949","499.955","6","1","1","3088"
"6","29,011.040","387.593","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3088"
"7","29,428.625","68,002.242","bitReverse","1","1","1,64","1,606.743","1,606.743","1,606.743","1,606.743","4","1","1","3088"
"8","29,437.438","68,642.460","butterfly","1","9","4,48","4,396.592","473.620","488.510","518.227","6","1","1","3088"
"9","29,445.140","230.292","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3088"
"10","29,702.289","67,902.983","bitReverse","1","1","1,65","1,614.775","1,614.775","1,614.775","1,614.775","4","1","1","3088"
"11","29,710.922","68,368.976","butterfly","1","9","4,51","4,427.248","473.940","491.916","503.539","6","1","1","3088"
"12","29,717.154","68,362.744","norm","1","1","0,62","609.937","609.937","609.937","609.937","2","1","1","3088"
"13","30,064.727","67,727.876","bitReverse","1","1","1,64","1,612.983","1,612.983","1,612.983","1,612.983","4","1","1","3088"
"14","30,073.637","68,006.261","butterfly","1","9","4,47","4,381.266","454.709","486.807","500.659","6","1","1","3088"
"15","30,079.723","68,000.175","norm","1","1","0,5","487.092","487.092","487.092","487.092","2","1","1","3088"
