"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","78,423.225","135,599.595","spinFact","1","1","0.01","21.792","21.792","21.792","21.792","2","1","1","3964"
"2","78,431.576","135,588.274","transpose","1","2","2.81","6,013.394","3,002.649","3,006.697","3,010.745","3","1","1","3964"
"3","78,438.716","135,578.048","highPassFilter","1","1","0.51","1,090.654","1,090.654","1,090.654","1,090.654","3","1","1","3964"
"4","79,803.896","133,505.299","bitReverse","1","1","1.22","2,603.097","2,603.097","2,603.097","2,603.097","4","1","1","3964"
"5","79,812.690","134,308.710","butterfly","1","9","8.46","18,108.082","1,315.229","2,012.009","3,144.983","6","1","1","3964"
"6","79,819.324","1,682.572","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3964"
"7","81,530.018","131,954.257","bitReverse","1","1","1.21","2,601.017","2,601.017","2,601.017","2,601.017","4","1","1","3964"
"8","81,538.440","132,582.960","butterfly","1","9","8.43","18,050.545","1,260.156","2,005.616","3,145.528","6","1","1","3964"
"9","81,544.410","197.936","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3964"
"10","81,767.501","131,885.652","bitReverse","1","1","1.21","2,599.289","2,599.289","2,599.289","2,599.289","4","1","1","3964"
"11","81,775.433","132,345.967","butterfly","1","9","8.45","18,082.898","1,316.508","2,009.210","3,088.024","6","1","1","3964"
"12","81,781.170","132,340.230","norm","1","1","0.5","1,070.589","1,070.589","1,070.589","1,070.589","2","1","1","3964"
"13","82,076.936","131,757.822","bitReverse","1","1","1.22","2,604.857","2,604.857","2,604.857","2,604.857","4","1","1","3964"
"14","82,084.999","132,036.401","butterfly","1","9","8.45","18,084.817","1,315.228","2,009.424","3,135.192","6","1","1","3964"
"15","82,093.121","132,028.279","norm","1","1","0.5","1,067.901","1,067.901","1,067.901","1,067.901","2","1","1","3964"
