"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","80,718.371","136,830.175","spinFact","1","1","0.01","21.952","21.952","21.952","21.952","2","1","1","3324"
"2","80,726.520","136,819.360","transpose","1","2","2.76","6,004.149","3,000.379","3,002.074","3,003.770","3","1","1","3324"
"3","80,733.769","136,809.036","highPassFilter","1","1","0.5","1,089.438","1,089.438","1,089.438","1,089.438","3","1","1","3324"
"4","82,093.639","134,726.384","bitReverse","1","1","1.2","2,604.091","2,604.091","2,604.091","2,604.091","4","1","1","3324"
"5","82,102.069","135,547.967","butterfly","1","9","8.31","18,091.710","1,316.221","2,010.190","3,140.570","6","1","1","3324"
"6","82,108.088","1,682.085","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3324"
"7","83,816.801","133,179.547","bitReverse","1","1","1.19","2,599.771","2,599.771","2,599.771","2,599.771","4","1","1","3324"
"8","83,825.145","133,824.891","butterfly","1","9","8.28","18,025.853","1,261.374","2,002.872","3,152.505","6","1","1","3324"
"9","83,831.055","188.250","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3324"
"10","84,044.348","133,125.332","bitReverse","1","1","1.19","2,598.650","2,598.650","2,598.650","2,598.650","4","1","1","3324"
"11","84,052.133","133,597.903","butterfly","1","9","8.32","18,101.693","1,318.782","2,011.299","3,096.441","6","1","1","3324"
"12","84,057.810","133,592.226","norm","1","1","0.49","1,069.470","1,069.470","1,069.470","1,069.470","2","1","1","3324"
"13","84,334.253","133,021.817","bitReverse","1","1","1.2","2,610.682","2,610.682","2,610.682","2,610.682","4","1","1","3324"
"14","84,342.353","133,307.683","butterfly","1","9","8.31","18,076.989","1,313.310","2,008.554","3,137.562","6","1","1","3324"
"15","84,348.491","133,301.545","norm","1","1","0.49","1,069.854","1,069.854","1,069.854","1,069.854","2","1","1","3324"
