"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","77,909.822","153,255.354","spinFact","1","1","0.01","21.760","21.760","21.760","21.760","2","1","1","3364"
"2","77,918.357","153,243.767","transpose","1","2","2.63","6,090.799","3,043.416","3,045.399","3,047.383","3","1","1","3364"
"3","77,925.512","153,233.578","highPassFilter","1","1","0.47","1,085.149","1,085.149","1,085.149","1,085.149","3","1","1","3364"
"4","79,291.960","151,159.452","bitReverse","1","1","1.13","2,604.825","2,604.825","2,604.825","2,604.825","4","1","1","3364"
"5","79,300.780","152,070.736","butterfly","1","9","7.82","18,104.273","1,329.116","2,011.585","3,139.287","6","1","1","3364"
"6","79,307.249","1,676.958","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3364"
"7","81,012.362","149,612.409","bitReverse","1","1","1.15","2,665.113","2,665.113","2,665.113","2,665.113","4","1","1","3364"
"8","81,020.721","150,350.795","butterfly","1","9","7.98","18,454.126","1,290.428","2,050.458","3,235.704","6","1","1","3364"
"9","81,026.624","187.293","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3364"
"10","81,238.866","149,555.116","bitReverse","1","1","1.15","2,671.257","2,671.257","2,671.257","2,671.257","4","1","1","3364"
"11","81,246.824","150,124.692","butterfly","1","9","7.99","18,489.424","1,332.572","2,054.380","3,188.984","6","1","1","3364"
"12","81,252.501","150,119.015","norm","1","1","0.47","1,080.158","1,080.158","1,080.158","1,080.158","2","1","1","3364"
"13","81,525.981","149,450.263","bitReverse","1","1","1.15","2,666.490","2,666.490","2,666.490","2,666.490","4","1","1","3364"
"14","81,533.995","149,837.521","butterfly","1","9","7.99","18,486.382","1,329.692","2,054.042","3,238.840","6","1","1","3364"
"15","81,541.885","149,829.631","norm","1","1","0.47","1,081.725","1,081.725","1,081.725","1,081.725","2","1","1","3364"
