"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","73,207.589","135,919.865","spinFact","1","1","0.01","22.080","22.080","22.080","22.080","2","1","1","2504"
"2","73,215.760","135,908.832","transpose","1","2","2.86","5,990.772","2,994.202","2,995.386","2,996.570","3","1","1","2504"
"3","73,222.641","135,898.655","highPassFilter","1","1","0.51","1,074.398","1,074.398","1,074.398","1,074.398","3","1","1","2504"
"4","74,562.501","133,826.049","bitReverse","1","1","1.25","2,604.986","2,604.986","2,604.986","2,604.986","4","1","1","2504"
"5","74,571.156","134,650.171","butterfly","1","9","8.65","18,104.381","1,321.981","2,011.597","3,158.778","6","1","1","2504"
"6","74,577.482","1,706.858","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2504"
"7","76,312.626","132,256.933","bitReverse","1","1","1.24","2,600.155","2,600.155","2,600.155","2,600.155","4","1","1","2504"
"8","76,321.135","132,900.192","butterfly","1","9","8.62","18,029.788","1,270.941","2,003.309","3,144.025","6","1","1","2504"
"9","76,326.966","186.683","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2504"
"10","76,538.845","132,206.075","bitReverse","1","1","1.24","2,598.267","2,598.267","2,598.267","2,598.267","4","1","1","2504"
"11","76,546.806","132,674.521","butterfly","1","9","8.64","18,075.387","1,316.733","2,008.376","3,101.401","6","1","1","2504"
"12","76,552.585","132,668.742","norm","1","1","0.51","1,068.702","1,068.702","1,068.702","1,068.702","2","1","1","2504"
"13","76,863.261","132,070.044","bitReverse","1","1","1.24","2,603.995","2,603.995","2,603.995","2,603.995","4","1","1","2504"
"14","76,871.406","132,349.921","butterfly","1","9","8.66","18,119.196","1,319.069","2,013.244","3,144.090","6","1","1","2504"
"15","76,879.401","132,341.926","norm","1","1","0.51","1,069.790","1,069.790","1,069.790","1,069.790","2","1","1","2504"
