"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","85,424.010","139,109.355","spinFact","1","1","0.01","21.792","21.792","21.792","21.792","2","1","1","3356"
"2","85,433.006","139,097.284","transpose","1","2","2.67","6,001.363","2,997.081","3,000.681","3,004.282","3","1","1","3356"
"3","85,440.308","139,086.836","highPassFilter","1","1","0.48","1,076.765","1,076.765","1,076.765","1,076.765","3","1","1","3356"
"4","86,916.135","136,864.665","bitReverse","1","1","1.16","2,606.106","2,606.106","2,606.106","2,606.106","4","1","1","3356"
"5","86,925.878","137,715.296","butterfly","1","9","8.05","18,086.938","1,317.757","2,009.659","3,153.305","6","1","1","3356"
"6","86,932.511","1,736.235","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3356"
"7","88,702.729","135,260.895","bitReverse","1","1","1.14","2,553.306","2,553.306","2,553.306","2,553.306","4","1","1","3356"
"8","88,711.523","135,929.651","butterfly","1","9","8.05","18,093.943","1,313.661","2,010.438","3,147.641","6","1","1","3356"
"9","88,717.706","205.204","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3356"
"10","88,950.041","135,189.012","bitReverse","1","1","1.16","2,597.626","2,597.626","2,597.626","2,597.626","4","1","1","3356"
"11","88,958.111","135,683.063","butterfly","1","9","8.05","18,079.095","1,316.029","2,008.788","3,094.938","6","1","1","3356"
"12","88,964.096","135,677.078","norm","1","1","0.48","1,071.581","1,071.581","1,071.581","1,071.581","2","1","1","3356"
"13","89,287.316","135,043.512","bitReverse","1","1","1.16","2,599.674","2,599.674","2,599.674","2,599.674","4","1","1","3356"
"14","89,295.859","135,345.315","butterfly","1","9","8.06","18,095.926","1,314.813","2,010.658","3,160.985","6","1","1","3356"
"15","89,304.371","135,336.803","norm","1","1","0.47","1,050.814","1,050.814","1,050.814","1,050.814","2","1","1","3356"
