"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","79,576.403","561,282.741","spinFact","1","1","0","23.392","23.392","23.392","23.392","2","1","1","380"
"2","79,584.461","561,271.844","transpose","1","2","4.46","28,590.666","14,278.181","14,295.333","14,312.485","3","1","1","380"
"3","79,591.763","561,261.310","highPassFilter","1","1","0.67","4,304.078","4,304.078","4,304.078","4,304.078","3","1","1","380"
"4","80,948.164","559,123.930","bitReverse","1","1","1.61","10,306.741","10,306.741","10,306.741","10,306.741","4","1","1","380"
"5","80,956.748","560,497.615","butterfly","1","10","12.71","81,506.733","5,218.090","8,150.673","12,631.436","6","1","1","380"
"6","80,962.905","1,732.118","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","380"
"7","82,725.476","557,538.922","bitReverse","1","1","1.62","10,362.613","10,362.613","10,362.613","10,362.613","4","1","1","380"
"8","82,733.996","558,720.367","butterfly","1","10","12.7","81,480.433","5,275.434","8,148.043","12,612.812","6","1","1","380"
"9","82,739.921","208.804","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","380"
"10","82,972.909","557,478.812","bitReverse","1","1","1.61","10,297.973","10,297.973","10,297.973","10,297.973","4","1","1","380"
"11","82,981.155","558,473.208","butterfly","1","10","12.71","81,502.703","5,273.290","8,150.270","12,607.852","6","1","1","380"
"12","82,987.061","558,467.302","norm","1","1","0.67","4,282.383","4,282.383","4,282.383","4,282.383","2","1","1","380"
"13","83,294.265","557,358.044","bitReverse","1","1","1.61","10,300.469","10,300.469","10,300.469","10,300.469","4","1","1","380"
"14","83,302.103","558,152.260","butterfly","1","10","12.95","83,099.175","5,280.810","8,309.917","12,988.491","6","1","1","380"
"15","83,308.046","558,146.317","norm","1","1","0.68","4,330.286","4,330.286","4,330.286","4,330.286","2","1","1","380"
