"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","72,987.967","560,147.325","spinFact","1","1","0","23.136","23.136","23.136","23.136","2","1","1","1616"
"2","72,996.329","560,136.124","transpose","1","2","4.5","28,469.639","14,190.148","14,234.819","14,279.491","3","1","1","1616"
"3","73,003.518","560,125.807","highPassFilter","1","1","0.68","4,300.525","4,300.525","4,300.525","4,300.525","3","1","1","1616"
"4","74,354.215","557,993.415","bitReverse","1","1","1.63","10,298.677","10,298.677","10,298.677","10,298.677","4","1","1","1616"
"5","74,362.874","558,869.573","butterfly","1","10","12.86","81,464.135","5,220.585","8,146.413","12,583.083","6","1","1","1616"
"6","74,369.268","1,721.280","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","1616"
"7","76,119.119","556,422.053","bitReverse","1","1","1.64","10,353.908","10,353.908","10,353.908","10,353.908","4","1","1","1616"
"8","76,127.534","557,104.913","butterfly","1","10","12.86","81,461.801","5,281.674","8,146.180","12,604.043","6","1","1","1616"
"9","76,133.737","208.072","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","1616"
"10","76,365.978","556,362.709","bitReverse","1","1","1.63","10,301.397","10,301.397","10,301.397","10,301.397","4","1","1","1616"
"11","76,373.827","556,858.620","butterfly","1","10","12.87","81,465.544","5,266.122","8,146.554","12,607.787","6","1","1","1616"
"12","76,379.583","556,852.864","norm","1","1","0.68","4,279.854","4,279.854","4,279.854","4,279.854","2","1","1","1616"
"13","76,682.568","556,245.949","bitReverse","1","1","1.63","10,291.764","10,291.764","10,291.764","10,291.764","4","1","1","1616"
"14","76,690.604","556,541.843","butterfly","1","10","12.99","82,265.957","5,277.034","8,226.595","12,828.458","6","1","1","1616"
"15","76,696.597","556,535.850","norm","1","1","0.68","4,329.134","4,329.134","4,329.134","4,329.134","2","1","1","1616"
