"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","81,285.767","562,153.099","spinFact","1","1","0","23.071","23.071","23.071","23.071","2","1","1","1048"
"2","81,293.871","562,142.306","transpose","1","2","4.43","28,540.040","14,269.924","14,270.020","14,270.116","3","1","1","1048"
"3","81,301.011","562,131.806","highPassFilter","1","1","0.67","4,291.950","4,291.950","4,291.950","4,291.950","3","1","1","1048"
"4","82,651.236","560,011.459","bitReverse","1","1","1.6","10,297.045","10,297.045","10,297.045","10,297.045","4","1","1","1048"
"5","82,660.082","560,875.362","butterfly","1","10","12.66","81,443.530","5,221.290","8,144.353","12,594.283","6","1","1","1048"
"6","82,666.697","1,716.098","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","1048"
"7","84,410.901","558,441.964","bitReverse","1","1","1.61","10,355.573","10,355.573","10,355.573","10,355.573","4","1","1","1048"
"8","84,420.471","559,114.973","butterfly","1","10","12.67","81,545.002","5,271.722","8,154.500","12,617.355","6","1","1","1048"
"9","84,426.962","202.422","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","1048"
"10","84,653.519","558,383.853","bitReverse","1","1","1.6","10,288.692","10,288.692","10,288.692","10,288.692","4","1","1","1048"
"11","84,661.934","558,873.510","butterfly","1","10","12.64","81,372.331","5,272.874","8,137.233","12,591.883","6","1","1","1048"
"12","84,667.847","558,867.597","norm","1","1","0.67","4,280.270","4,280.270","4,280.270","4,280.270","2","1","1","1048"
"13","84,963.827","558,270.848","bitReverse","1","1","1.6","10,311.541","10,311.541","10,311.541","10,311.541","4","1","1","1048"
"14","84,971.984","558,563.460","butterfly","1","10","12.81","82,450.660","5,273.161","8,245.066","12,851.306","6","1","1","1048"
"15","84,978.096","558,557.348","norm","1","1","0.67","4,329.262","4,329.262","4,329.262","4,329.262","2","1","1","1048"
