"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","86,994.349","563,098.909","spinFact","1","1","0","23.392","23.392","23.392","23.392","2","1","1","3348"
"2","87,002.404","563,088.090","transpose","1","2","4.4","28,613.222","14,272.003","14,306.611","14,341.219","3","1","1","3348"
"3","87,009.608","563,077.714","highPassFilter","1","1","0.66","4,299.789","4,299.789","4,299.789","4,299.789","3","1","1","3348"
"4","88,357.219","560,958.203","bitReverse","1","1","1.58","10,292.564","10,292.564","10,292.564","10,292.564","4","1","1","3348"
"5","88,365.585","561,822.604","butterfly","1","10","12.54","81,505.636","5,232.074","8,150.563","12,603.723","6","1","1","3348"
"6","88,371.720","1,739.524","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3348"
"7","90,139.872","559,367.561","bitReverse","1","1","1.59","10,359.188","10,359.188","10,359.188","10,359.188","4","1","1","3348"
"8","90,148.384","560,039.805","butterfly","1","10","12.53","81,437.827","5,271.529","8,143.782","12,594.699","6","1","1","3348"
"9","90,154.313","209.396","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3348"
"10","90,388.309","559,303.680","bitReverse","1","1","1.58","10,298.452","10,298.452","10,298.452","10,298.452","4","1","1","3348"
"11","90,396.537","559,791.652","butterfly","1","10","12.53","81,457.286","5,272.617","8,145.728","12,609.898","6","1","1","3348"
"12","90,402.364","559,785.825","norm","1","1","0.66","4,279.886","4,279.886","4,279.886","4,279.886","2","1","1","3348"
"13","90,721.834","559,167.923","bitReverse","1","1","1.58","10,297.940","10,297.940","10,297.940","10,297.940","4","1","1","3348"
"14","90,729.720","559,458.469","butterfly","1","10","12.83","83,403.486","5,288.329","8,340.348","13,006.664","6","1","1","3348"
"15","90,735.465","559,452.724","norm","1","1","0.67","4,334.030","4,334.030","4,334.030","4,334.030","2","1","1","3348"
