"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","75,752.415","560,638.407","spinFact","1","1","0","23.168","23.168","23.168","23.168","2","1","1","2892"
"2","75,760.744","560,626.890","transpose","1","2","4.5","28,660.417","14,314.465","14,330.208","14,345.952","3","1","1","2892"
"3","75,767.764","560,616.720","highPassFilter","1","1","0.68","4,301.677","4,301.677","4,301.677","4,301.677","3","1","1","2892"
"4","77,152.245","558,478.984","bitReverse","1","1","1.62","10,293.331","10,293.331","10,293.331","10,293.331","4","1","1","2892"
"5","77,161.144","559,327.898","butterfly","1","10","12.8","81,475.000","5,232.009","8,147.500","12,598.216","6","1","1","2892"
"6","77,167.474","1,697.183","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2892"
"7","78,892.770","556,923.934","bitReverse","1","1","1.63","10,355.506","10,355.506","10,355.506","10,355.506","4","1","1","2892"
"8","78,901.238","557,587.804","butterfly","1","10","12.8","81,484.185","5,277.545","8,148.418","12,590.569","6","1","1","2892"
"9","78,907.628","204.502","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2892"
"10","79,135.973","556,860.941","bitReverse","1","1","1.62","10,296.626","10,296.626","10,296.626","10,296.626","4","1","1","2892"
"11","79,144.009","557,345.033","butterfly","1","10","12.81","81,509.881","5,272.969","8,150.988","12,633.000","6","1","1","2892"
"12","79,149.754","557,339.288","norm","1","1","0.67","4,282.861","4,282.861","4,282.861","4,282.861","2","1","1","2892"
"13","79,454.760","556,735.163","bitReverse","1","1","1.62","10,301.779","10,301.779","10,301.779","10,301.779","4","1","1","2892"
"14","79,462.733","557,026.309","butterfly","1","10","12.92","82,210.485","5,267.465","8,221.048","12,823.784","6","1","1","2892"
"15","79,468.620","557,020.422","norm","1","1","0.68","4,330.093","4,330.093","4,330.093","4,330.093","2","1","1","2892"
