"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","29,943.508","20,303.425","spinFact","1","1","0,31","154.717","154.717","154.717","154.717","2","1","1","3516"
"2","29,952.984","20,290.949","transpose","1","2","0,68","344.026","167.997","172.013","176.029","3","1","1","3516"
"3","29,960.188","20,280.152","highPassFilter","1","1","0,23","115.806","115.806","115.806","115.806","3","1","1","3516"
"4","30,188.499","19,408.428","bitReverse","1","1","0,62","309.947","309.947","309.947","309.947","4","1","1","3516"
"5","30,197.803","20,132.564","butterfly","1","8","1,9","955.727","116.638","119.465","122.941","6","1","1","3516"
"6","30,204.500","463.204","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3516"
"7","30,698.454","19,055.133","bitReverse","1","1","0,61","307.834","307.834","307.834","307.834","4","1","1","3516"
"8","30,707.570","19,622.797","butterfly","1","8","1,9","956.880","116.830","119.610","122.398","6","1","1","3516"
"9","30,715.232","228.723","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3516"
"10","30,970.194","18,937.233","bitReverse","1","1","0,62","310.490","310.490","310.490","310.490","4","1","1","3516"
"11","30,978.774","19,351.593","butterfly","1","8","1,92","963.887","117.982","120.485","125.118","6","1","1","3516"
"12","30,985.085","19,345.282","norm","1","1","0,32","159.069","159.069","159.069","159.069","2","1","1","3516"
"13","31,302.320","18,771.415","bitReverse","1","1","0,58","290.842","290.842","290.842","290.842","4","1","1","3516"
"14","31,310.923","19,019.444","butterfly","1","8","1,91","963.343","117.886","120.417","133.277","6","1","1","3516"
"15","31,317.069","19,013.298","norm","1","1","0,24","118.430","118.430","118.430","118.430","2","1","1","3516"
