"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","27,214.752","19,420.230","spinFact","1","1","0,23","107.838","107.838","107.838","107.838","2","1","1","2932"
"2","27,222.548","19,409.516","transpose","1","2","0,75","350.362","174.812","175.181","175.550","3","1","1","2932"
"3","27,230.599","19,398.251","highPassFilter","1","1","0,25","116.958","116.958","116.958","116.958","3","1","1","2932"
"4","27,415.170","18,564.263","bitReverse","1","1","0,66","309.498","309.498","309.498","309.498","4","1","1","2932"
"5","27,424.028","19,449.810","butterfly","1","8","2,04","957.102","116.541","119.637","123.421","6","1","1","2932"
"6","27,430.632","376.496","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2932"
"7","27,836.082","18,302.583","bitReverse","1","1","0,66","308.828","308.828","308.828","308.828","4","1","1","2932"
"8","27,845.130","19,028.708","butterfly","1","8","2,04","956.560","116.734","119.570","122.558","6","1","1","2932"
"9","27,852.454","216.683","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2932"
"10","28,094.738","18,198.409","bitReverse","1","1","0,66","309.467","309.467","309.467","309.467","4","1","1","2932"
"11","28,103.100","18,770.738","butterfly","1","8","2,05","960.912","116.734","120.114","125.246","6","1","1","2932"
"12","28,109.344","18,764.494","norm","1","1","0,34","157.150","157.150","157.150","157.150","2","1","1","2932"
"13","28,443.499","18,018.173","bitReverse","1","1","0,67","313.210","313.210","313.210","313.210","4","1","1","2932"
"14","28,451.952","18,421.886","butterfly","1","8","2,06","964.688","117.566","120.586","124.030","6","1","1","2932"
"15","28,457.922","18,415.916","norm","1","1","0,25","119.390","119.390","119.390","119.390","2","1","1","2932"
