"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","58,140.064","19,510.038","spinFact","1","1","0,01","7.680","7.680","7.680","7.680","2","1","1","3304"
"2","58,147.579","19,499.932","transpose","1","2","0,45","346.936","172.156","173.468","174.780","3","1","1","3304"
"3","58,156.072","19,488.113","highPassFilter","1","1","0,15","116.285","116.285","116.285","116.285","3","1","1","3304"
"4","58,230.352","18,756.930","bitReverse","1","1","0,4","309.177","309.177","309.177","309.177","4","1","1","3304"
"5","58,239.266","19,495.680","butterfly","1","8","1,23","958.728","116.669","119.841","125.533","6","1","1","3304"
"6","58,245.390","460.406","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3304"
"7","58,735.432","18,412.215","bitReverse","1","1","0,4","308.921","308.921","308.921","308.921","4","1","1","3304"
"8","58,744.271","18,990.675","butterfly","1","8","1,23","955.593","116.445","119.449","124.413","6","1","1","3304"
"9","58,751.332","210.308","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3304"
"10","58,987.575","18,319.672","bitReverse","1","1","0,4","310.840","310.840","310.840","310.840","4","1","1","3304"
"11","58,995.896","18,739.050","butterfly","1","8","1,24","967.339","117.277","120.917","127.389","6","1","1","3304"
"12","59,001.915","18,733.031","norm","1","1","0,2","155.548","155.548","155.548","155.548","2","1","1","3304"
"13","59,235.881","18,240.098","bitReverse","1","1","0,4","310.713","310.713","310.713","310.713","4","1","1","3304"
"14","59,243.989","18,490.957","butterfly","1","8","1,24","966.056","117.693","120.757","125.885","6","1","1","3304"
"15","59,249.857","18,485.089","norm","1","1","0,15","118.397","118.397","118.397","118.397","2","1","1","3304"
