"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","87,836.044","19,240.172","spinFact","1","1","0,01","7.840","7.840","7.840","7.840","2","1","1","2856"
"2","87,843.469","19,230.040","transpose","1","2","0,33","353.687","175.515","176.843","178.172","3","1","1","2856"
"3","87,851.794","19,218.445","highPassFilter","1","1","0,11","116.605","116.605","116.605","116.605","3","1","1","2856"
"4","87,915.750","18,497.875","bitReverse","1","1","0,29","310.072","310.072","310.072","310.072","4","1","1","2856"
"5","87,924.240","19,236.692","butterfly","1","8","0,89","957.927","116.765","119.740","124.061","6","1","1","2856"
"6","87,930.424","407.572","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2856"
"7","88,368.780","18,207.662","bitReverse","1","1","0,29","309.592","309.592","309.592","309.592","4","1","1","2856"
"8","88,377.596","18,783.336","butterfly","1","8","0,89","955.912","116.253","119.489","123.581","6","1","1","2856"
"9","88,384.759","244.091","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2856"
"10","88,654.170","18,078.092","bitReverse","1","1","0,29","308.184","308.184","308.184","308.184","4","1","1","2856"
"11","88,662.465","18,498.467","butterfly","1","8","0,9","963.367","117.341","120.420","126.333","6","1","1","2856"
"12","88,668.757","18,492.175","norm","1","1","0,15","156.091","156.091","156.091","156.091","2","1","1","2856"
"13","88,943.141","17,958.524","bitReverse","1","1","0,29","313.368","313.368","313.368","313.368","4","1","1","2856"
"14","88,951.361","18,209.571","butterfly","1","8","0,9","963.366","117.820","120.420","123.805","6","1","1","2856"
"15","88,957.350","18,203.582","norm","1","1","0,11","119.741","119.741","119.741","119.741","2","1","1","2856"
