"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","34,972.838","20,412.386","spinFact","1","1","0,01","7.680","7.680","7.680","7.680","2","1","1","3224"
"2","34,980.829","20,401.519","transpose","1","2","0,64","355.416","176.316","177.708","179.100","3","1","1","3224"
"3","34,989.375","20,389.647","highPassFilter","1","1","0,21","115.838","115.838","115.838","115.838","3","1","1","3224"
"4","35,064.672","19,643.820","bitReverse","1","1","0,56","311.706","311.706","311.706","311.706","4","1","1","3224"
"5","35,073.424","20,395.275","butterfly","1","8","1,73","957.996","116.381","119.749","124.478","6","1","1","3224"
"6","35,079.934","725.866","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3224"
"7","35,836.055","19,031.065","bitReverse","1","1","0,56","307.930","307.930","307.930","307.930","4","1","1","3224"
"8","35,845.127","19,623.572","butterfly","1","8","1,72","956.748","116.862","119.593","122.110","6","1","1","3224"
"9","35,852.777","271.582","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3224"
"10","36,150.545","18,893.680","bitReverse","1","1","0,56","308.569","308.569","308.569","308.569","4","1","1","3224"
"11","36,158.900","19,309.799","butterfly","1","8","1,73","958.733","116.766","119.841","125.086","6","1","1","3224"
"12","36,165.152","19,303.547","norm","1","1","0,28","155.421","155.421","155.421","155.421","2","1","1","3224"
"13","36,567.662","18,643.753","bitReverse","1","1","0,56","310.074","310.074","310.074","310.074","4","1","1","3224"
"14","36,576.230","18,892.469","butterfly","1","8","1,72","955.245","115.678","119.405","122.973","6","1","1","3224"
"15","36,582.309","18,886.390","norm","1","1","0,21","119.005","119.005","119.005","119.005","2","1","1","3224"
