"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","54,977.251","1,224,436.774","spinFact","1","1","0,01","184.346","184.346","184.346","184.346","2","1","1","1464"
"2","54,984.916","1,224,426.251","transpose","1","2","1,71","21,900.613","10,948.435","10,950.306","10,952.178","3","1","1","1464"
"3","54,993.091","1,224,414.960","highPassFilter","1","1","0,58","7,441.416","7,441.416","7,441.416","7,441.416","3","1","1","1464"
"4","55,386.832","1,223,188.618","bitReverse","1","1","3,07","39,282.848","39,282.848","39,282.848","39,282.848","4","1","1","1464"
"5","55,396.335","1,224,482.411","butterfly","1","11","6,59","84,328.866","7,493.190","7,666.260","8,045.875","6","1","1","1464"
"6","55,402.680","541.582","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","1464"
"7","55,975.807","1,222,806.429","bitReverse","1","1","3,07","39,253.025","39,253.025","39,253.025","39,253.025","4","1","1","1464"
"8","55,984.488","1,223,894.258","butterfly","1","11","6,58","84,257.539","7,501.829","7,659.776","7,974.997","6","1","1","1464"
"9","55,991.632","302.944","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","1464"
"10","56,323.455","1,222,657.426","bitReverse","1","1","3,09","39,598.293","39,598.293","39,598.293","39,598.293","4","1","1","1464"
"11","56,331.446","1,223,547.300","butterfly","1","11","6,64","85,021.800","7,565.283","7,729.254","8,059.923","6","1","1","1464"
"12","56,337.427","1,223,541.319","norm","1","1","0,76","9,663.997","9,663.997","9,663.997","9,663.997","2","1","1","1464"
"13","56,646.870","1,222,553.491","bitReverse","1","1","3,1","39,666.963","39,666.963","39,666.963","39,666.963","4","1","1","1464"
"14","56,654.853","1,223,223.893","butterfly","1","11","6,64","85,010.122","7,544.549","7,728.192","8,048.884","6","1","1","1464"
"15","56,660.685","1,223,218.061","norm","1","1","0,59","7,493.733","7,493.733","7,493.733","7,493.733","2","1","1","1464"
