"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","47,729.835","1,117,906.615","spinFact","1","1","0,02","202.106","202.106","202.106","202.106","2","1","1","1464"
"2","47,737.534","1,117,896.156","transpose","1","2","1,88","21,915.312","10,941.465","10,957.656","10,973.847","3","1","1","1464"
"3","47,746.024","1,117,884.516","highPassFilter","1","1","0,63","7,403.884","7,403.884","7,403.884","7,403.884","3","1","1","1464"
"4","48,143.872","1,116,658.841","bitReverse","1","1","3,37","39,337.714","39,337.714","39,337.714","39,337.714","4","1","1","1464"
"5","48,153.277","1,117,904.613","butterfly","1","11","7,24","84,432.231","7,501.737","7,675.657","7,955.450","6","1","1","1464"
"6","48,159.708","630.754","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","1464"
"7","48,823.885","1,116,181.853","bitReverse","1","1","3,37","39,326.834","39,326.834","39,326.834","39,326.834","4","1","1","1464"
"8","48,832.713","1,117,225.177","butterfly","1","11","7,23","84,288.524","7,485.674","7,662.593","7,947.931","6","1","1","1464"
"9","48,840.183","359.122","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","1464"
"10","49,229.264","1,115,974.845","bitReverse","1","1","3,4","39,676.839","39,676.839","39,676.839","39,676.839","4","1","1","1464"
"11","49,237.897","1,116,819.993","butterfly","1","11","7,29","85,011.734","7,566.439","7,728.339","8,029.624","6","1","1","1464"
"12","49,244.107","1,116,813.783","norm","1","1","0,83","9,670.881","9,670.881","9,670.881","9,670.881","2","1","1","1464"
"13","49,574.673","1,115,848.234","bitReverse","1","1","3,4","39,629.833","39,629.833","39,629.833","39,629.833","4","1","1","1464"
"14","49,583.189","1,116,474.701","butterfly","1","11","7,29","84,954.966","7,556.616","7,723.178","7,977.274","6","1","1","1464"
"15","49,589.482","1,116,468.408","norm","1","1","0,65","7,527.561","7,527.561","7,527.561","7,527.561","2","1","1","1464"
