"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","49,500.450","1,124,880.954","spinFact","1","1","0,02","181.082","181.082","181.082","181.082","2","1","1","3868"
"2","49,507.924","1,124,870.738","transpose","1","2","1,87","21,959.109","10,962.132","10,979.554","10,996.977","3","1","1","3868"
"3","49,515.919","1,124,859.462","highPassFilter","1","1","0,63","7,440.104","7,440.104","7,440.104","7,440.104","3","1","1","3868"
"4","49,903.054","1,123,592.225","bitReverse","1","1","3,34","39,263.621","39,263.621","39,263.621","39,263.621","4","1","1","3868"
"5","49,911.926","1,124,925.199","butterfly","1","11","7,18","84,353.065","7,493.990","7,668.460","7,981.526","6","1","1","3868"
"6","49,918.376","549.893","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3868"
"7","50,516.199","1,123,191.577","bitReverse","1","1","3,34","39,291.332","39,291.332","39,291.332","39,291.332","4","1","1","3868"
"8","50,525.607","1,124,311.518","butterfly","1","11","7,17","84,284.971","7,502.695","7,662.270","7,979.511","6","1","1","3868"
"9","50,533.347","318.848","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3868"
"10","50,878.666","1,123,038.319","bitReverse","1","1","3,37","39,633.978","39,633.978","39,633.978","39,633.978","4","1","1","3868"
"11","50,887.325","1,123,949.800","butterfly","1","11","7,24","85,020.050","7,564.389","7,729.095","8,067.220","6","1","1","3868"
"12","50,893.467","1,123,943.658","norm","1","1","0,82","9,654.558","9,654.558","9,654.558","9,654.558","2","1","1","3868"
"13","51,222.020","1,122,923.542","bitReverse","1","1","3,37","39,582.299","39,582.299","39,582.299","39,582.299","4","1","1","3868"
"14","51,230.352","1,123,606.773","butterfly","1","11","7,24","85,077.424","7,524.486","7,734.311","8,056.115","6","1","1","3868"
"15","51,236.442","1,123,600.683","norm","1","1","0,64","7,497.062","7,497.062","7,497.062","7,497.062","2","1","1","3868"
