"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","46,507.524","1,123,384.041","spinFact","1","1","0,01","156.859","156.859","156.859","156.859","2","1","1","3020"
"2","46,515.110","1,123,373.732","transpose","1","2","1,88","21,950.351","10,949.688","10,975.175","11,000.663","3","1","1","3020"
"3","46,523.536","1,123,361.845","highPassFilter","1","1","0,64","7,473.451","7,473.451","7,473.451","7,473.451","3","1","1","3020"
"4","46,888.931","1,122,167.899","bitReverse","1","1","3,36","39,340.499","39,340.499","39,340.499","39,340.499","4","1","1","3020"
"5","46,899.330","1,123,411.642","butterfly","1","11","7,21","84,330.061","7,474.890","7,666.369","7,949.595","6","1","1","3020"
"6","46,905.791","566.685","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3020"
"7","47,503.624","1,121,756.460","bitReverse","1","1","3,36","39,328.788","39,328.788","39,328.788","39,328.788","4","1","1","3020"
"8","47,512.230","1,122,798.742","butterfly","1","11","7,2","84,275.887","7,485.546","7,661.444","7,951.994","6","1","1","3020"
"9","47,519.587","288.552","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3020"
"10","47,836.729","1,121,622.933","bitReverse","1","1","3,36","39,366.482","39,366.482","39,366.482","39,366.482","4","1","1","3020"
"11","47,844.904","1,122,466.068","butterfly","1","11","7,27","85,101.715","7,585.031","7,736.519","8,033.912","6","1","1","3020"
"12","47,851.061","1,122,459.911","norm","1","1","0,82","9,642.211","9,642.211","9,642.211","9,642.211","2","1","1","3020"
"13","48,149.895","1,121,528.584","bitReverse","1","1","3,39","39,624.586","39,624.586","39,624.586","39,624.586","4","1","1","3020"
"14","48,157.890","1,122,153.082","butterfly","1","11","7,26","85,009.590","7,564.999","7,728.144","8,038.200","6","1","1","3020"
"15","48,164.100","1,122,146.872","norm","1","1","0,64","7,526.025","7,526.025","7,526.025","7,526.025","2","1","1","3020"
