"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","48,182.445","1,124,771.541","spinFact","1","1","0,02","193.914","193.914","193.914","193.914","2","1","1","2732"
"2","48,190.196","1,124,760.929","transpose","1","2","1,88","22,002.759","10,969.365","11,001.379","11,033.394","3","1","1","2732"
"3","48,198.453","1,124,749.525","highPassFilter","1","1","0,63","7,437.386","7,437.386","7,437.386","7,437.386","3","1","1","2732"
"4","48,566.968","1,123,544.974","bitReverse","1","1","3,34","39,245.549","39,245.549","39,245.549","39,245.549","4","1","1","2732"
"5","48,576.077","1,124,835.439","butterfly","1","11","7,18","84,255.131","7,501.096","7,659.557","7,974.936","6","1","1","2732"
"6","48,582.655","569.478","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2732"
"7","49,184.665","1,123,133.366","bitReverse","1","1","3,35","39,301.292","39,301.292","39,301.292","39,301.292","4","1","1","2732"
"8","49,193.773","1,124,217.743","butterfly","1","11","7,18","84,248.763","7,496.199","7,658.978","7,938.202","6","1","1","2732"
"9","49,201.086","275.681","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2732"
"10","49,503.501","1,123,014.176","bitReverse","1","1","3,37","39,598.498","39,598.498","39,598.498","39,598.498","4","1","1","2732"
"11","49,512.287","1,123,899.229","butterfly","1","11","7,25","85,020.482","7,563.430","7,729.134","8,060.789","6","1","1","2732"
"12","49,518.415","1,123,893.101","norm","1","1","0,82","9,651.969","9,651.969","9,651.969","9,651.969","2","1","1","2732"
"13","49,802.147","1,122,936.626","bitReverse","1","1","3,38","39,673.376","39,673.376","39,673.376","39,673.376","4","1","1","2732"
"14","49,810.607","1,123,600.909","butterfly","1","11","7,23","84,867.495","7,542.982","7,715.226","7,981.848","6","1","1","2732"
"15","49,816.712","1,123,594.804","norm","1","1","0,64","7,520.039","7,520.039","7,520.039","7,520.039","2","1","1","2732"
