"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","46,382.289","1,106,550.480","spinFact","1","1","0,02","183.897","183.897","183.897","183.897","2","1","1","1100"
"2","46,390.014","1,106,539.803","transpose","1","2","1,91","22,016.779","10,989.430","11,008.389","11,027.349","3","1","1","1100"
"3","46,398.462","1,106,528.224","highPassFilter","1","1","0,64","7,437.036","7,437.036","7,437.036","7,437.036","3","1","1","1100"
"4","46,770.630","1,105,309.689","bitReverse","1","1","3,41","39,299.155","39,299.155","39,299.155","39,299.155","4","1","1","1100"
"5","46,780.039","1,106,605.211","butterfly","1","11","7,31","84,291.240","7,488.329","7,662.840","7,978.041","6","1","1","1100"
"6","46,786.444","562.953","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","1100"
"7","47,379.990","1,104,909.042","bitReverse","1","1","3,4","39,258.933","39,258.933","39,258.933","39,258.933","4","1","1","1100"
"8","47,388.660","1,105,996.590","butterfly","1","11","7,31","84,265.835","7,502.185","7,660.530","7,979.418","6","1","1","1100"
"9","47,395.969","275.460","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","1100"
"10","47,699.325","1,104,792.864","bitReverse","1","1","3,44","39,655.815","39,655.815","39,655.815","39,655.815","4","1","1","1100"
"11","47,707.369","1,105,677.881","butterfly","1","11","7,37","84,996.147","7,550.216","7,726.922","8,059.223","6","1","1","1100"
"12","47,713.507","1,105,671.743","norm","1","1","0,84","9,644.610","9,644.610","9,644.610","9,644.610","2","1","1","1100"
"13","48,028.605","1,104,686.727","bitReverse","1","1","3,44","39,660.295","39,660.295","39,660.295","39,660.295","4","1","1","1100"
"14","48,036.499","1,105,348.751","butterfly","1","11","7,36","84,879.896","7,544.264","7,716.354","8,099.638","6","1","1","1100"
"15","48,042.472","1,105,342.778","norm","1","1","0,66","7,556.231","7,556.231","7,556.231","7,556.231","2","1","1","1100"
