"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","34,629.829","269,718.033","spinFact","1","1","0,06","175.643","175.643","175.643","175.643","2","1","1","2512"
"2","34,637.445","269,707.624","transpose","1","2","1,77","5,377.977","2,670.125","2,688.988","2,707.852","3","1","1","2512"
"3","34,645.732","269,696.085","highPassFilter","1","1","0,61","1,863.623","1,863.623","1,863.623","1,863.623","3","1","1","2512"
"4","35,138.321","268,429.031","bitReverse","1","1","2,87","8,745.426","8,745.426","8,745.426","8,745.426","4","1","1","2512"
"5","35,147.325","269,293.912","butterfly","1","10","6,35","19,322.509","1,872.839","1,932.250","2,039.937","6","1","1","2512"
"6","35,153.550","444.709","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2512"
"7","35,632.335","268,126.091","bitReverse","1","1","2,89","8,806.481","8,806.481","8,806.481","8,806.481","4","1","1","2512"
"8","35,641.065","268,800.172","butterfly","1","10","6,34","19,302.221","1,864.295","1,930.222","2,004.450","6","1","1","2512"
"9","35,648.854","259.897","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2512"
"10","35,934.641","268,009.395","bitReverse","1","1","2,89","8,805.616","8,805.616","8,805.616","8,805.616","4","1","1","2512"
"11","35,942.677","268,498.560","butterfly","1","10","6,34","19,304.109","1,890.949","1,930.410","2,009.250","6","1","1","2512"
"12","35,948.629","268,492.608","norm","1","1","0,79","2,414.934","2,414.934","2,414.934","2,414.934","2","1","1","2512"
"13","36,284.516","267,858.390","bitReverse","1","1","2,9","8,813.616","8,813.616","8,813.616","8,813.616","4","1","1","2512"
"14","36,292.774","268,148.463","butterfly","1","10","6,34","19,304.877","1,894.214","1,930.487","2,006.882","6","1","1","2512"
"15","36,298.789","268,142.448","norm","1","1","0,61","1,865.766","1,865.766","1,865.766","1,865.766","2","1","1","2512"
