"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","34,400.111","273,807.399","spinFact","1","1","0,03","77.758","77.758","77.758","77.758","2","1","1","3780"
"2","34,407.817","273,794.836","transpose","1","2","1,74","5,376.956","2,686.446","2,688.478","2,690.510","3","1","1","3780"
"3","34,415.973","273,783.759","highPassFilter","1","1","0,6","1,864.776","1,864.776","1,864.776","1,864.776","3","1","1","3780"
"4","34,783.485","272,638.130","bitReverse","1","1","2,84","8,742.422","8,742.422","8,742.422","8,742.422","4","1","1","3780"
"5","34,792.260","273,508.246","butterfly","1","10","6,26","19,312.179","1,896.646","1,931.217","2,009.635","6","1","1","3780"
"6","34,798.635","432.735","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3780"
"7","35,262.273","272,351.083","bitReverse","1","1","2,87","8,853.138","8,853.138","8,853.138","8,853.138","4","1","1","3780"
"8","35,272.286","273,028.220","butterfly","1","10","6,26","19,287.413","1,880.870","1,928.741","2,002.115","6","1","1","3780"
"9","35,279.763","256.853","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3780"
"10","35,563.230","272,235.998","bitReverse","1","1","2,87","8,860.434","8,860.434","8,860.434","8,860.434","4","1","1","3780"
"11","35,571.480","272,729.026","butterfly","1","10","6,27","19,325.268","1,893.639","1,932.526","2,011.138","6","1","1","3780"
"12","35,577.420","272,723.086","norm","1","1","0,78","2,411.894","2,411.894","2,411.894","2,411.894","2","1","1","3780"
"13","35,871.776","272,126.964","bitReverse","1","1","2,88","8,882.258","8,882.258","8,882.258","8,882.258","4","1","1","3780"
"14","35,880.131","272,420.375","butterfly","1","10","6,27","19,319.859","1,891.622","1,931.985","2,006.115","6","1","1","3780"
"15","35,886.067","272,414.439","norm","1","1","0,59","1,827.112","1,827.112","1,827.112","1,827.112","2","1","1","3780"
