"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","32,832.048","270,936.989","spinFact","1","1","0,02","73.118","73.118","73.118","73.118","2","1","1","2856"
"2","32,839.488","270,926.722","transpose","1","2","1,78","5,412.826","2,694.989","2,706.413","2,717.837","3","1","1","2856"
"3","32,847.772","270,915.156","highPassFilter","1","1","0,61","1,862.983","1,862.983","1,862.983","1,862.983","3","1","1","2856"
"4","33,217.108","269,770.058","bitReverse","1","1","2,88","8,763.571","8,763.571","8,763.571","8,763.571","4","1","1","2856"
"5","33,226.506","270,637.001","butterfly","1","10","6,37","19,344.111","1,888.198","1,934.411","2,061.025","6","1","1","2856"
"6","33,233.016","438.015","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2856"
"7","33,700.296","269,475.067","bitReverse","1","1","2,9","8,809.906","8,809.906","8,809.906","8,809.906","4","1","1","2856"
"8","33,709.026","270,154.481","butterfly","1","10","6,36","19,326.383","1,877.158","1,932.638","2,009.315","6","1","1","2856"
"9","33,716.338","258.705","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2856"
"10","34,001.616","269,365.076","bitReverse","1","1","2,9","8,822.481","8,822.481","8,822.481","8,822.481","4","1","1","2856"
"11","34,009.731","269,853.776","butterfly","1","10","6,36","19,310.704","1,893.798","1,931.070","2,006.051","6","1","1","2856"
"12","34,015.791","269,847.716","norm","1","1","0,79","2,408.822","2,408.822","2,408.822","2,408.822","2","1","1","2856"
"13","34,306.521","269,257.012","bitReverse","1","1","2,9","8,822.321","8,822.321","8,822.321","8,822.321","4","1","1","2856"
"14","34,314.730","269,548.777","butterfly","1","10","6,35","19,302.769","1,892.774","1,930.276","2,009.314","6","1","1","2856"
"15","34,320.790","269,542.717","norm","1","1","0,61","1,866.887","1,866.887","1,866.887","1,866.887","2","1","1","2856"
