"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","33,980.831","269,990.547","spinFact","1","1","0,02","66.302","66.302","66.302","66.302","2","1","1","3268"
"2","33,988.376","269,980.066","transpose","1","2","1,78","5,412.667","2,685.262","2,706.333","2,727.405","3","1","1","3268"
"3","33,996.570","269,968.490","highPassFilter","1","1","0,61","1,863.559","1,863.559","1,863.559","1,863.559","3","1","1","3268"
"4","34,384.365","268,774.527","bitReverse","1","1","2,89","8,783.286","8,783.286","8,783.286","8,783.286","4","1","1","3268"
"5","34,393.586","269,670.954","butterfly","1","10","6,35","19,304.375","1,871.175","1,930.437","2,075.169","6","1","1","3268"
"6","34,400.070","403.293","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3268"
"7","34,832.947","268,519.903","bitReverse","1","1","2,91","8,860.499","8,860.499","8,860.499","8,860.499","4","1","1","3268"
"8","34,841.602","269,222.938","butterfly","1","10","6,35","19,317.175","1,892.966","1,931.717","2,008.099","6","1","1","3268"
"9","34,848.915","280.095","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3268"
"10","35,154.003","268,388.379","bitReverse","1","1","2,9","8,814.101","8,814.101","8,814.101","8,814.101","4","1","1","3268"
"11","35,162.013","268,902.527","butterfly","1","10","6,35","19,315.254","1,877.927","1,931.525","2,003.907","6","1","1","3268"
"12","35,168.115","268,896.425","norm","1","1","0,79","2,410.582","2,410.582","2,410.582","2,410.582","2","1","1","3268"
"13","35,475.078","268,270.910","bitReverse","1","1","2,9","8,820.020","8,820.020","8,820.020","8,820.020","4","1","1","3268"
"14","35,483.126","268,581.414","butterfly","1","10","6,35","19,314.838","1,870.151","1,931.483","2,008.323","6","1","1","3268"
"15","35,489.272","268,575.268","norm","1","1","0,61","1,867.272","1,867.272","1,867.272","1,867.272","2","1","1","3268"
