"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","42,149.309","269,635.125","spinFact","1","1","0,02","65.086","65.086","65.086","65.086","2","1","1","1660"
"2","42,156.756","269,624.918","transpose","1","2","1,72","5,366.682","2,663.566","2,683.341","2,703.116","3","1","1","1660"
"3","42,164.898","269,613.506","highPassFilter","1","1","0,6","1,862.438","1,862.438","1,862.438","1,862.438","3","1","1","1660"
"4","42,553.000","268,430.078","bitReverse","1","1","2,81","8,751.985","8,751.985","8,751.985","8,751.985","4","1","1","1660"
"5","42,561.906","269,315.700","butterfly","1","10","6,2","19,320.905","1,894.437","1,932.090","2,002.882","6","1","1","1660"
"6","42,568.311","395.794","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","1660"
"7","42,992.575","268,185.334","bitReverse","1","1","2,83","8,821.230","8,821.230","8,821.230","8,821.230","4","1","1","1660"
"8","43,001.136","268,876.470","butterfly","1","10","6,19","19,312.331","1,881.541","1,931.233","2,006.754","6","1","1","1660"
"9","43,008.449","279.919","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","1660"
"10","43,313.384","268,055.445","bitReverse","1","1","2,83","8,813.615","8,813.615","8,813.615","8,813.615","4","1","1","1660"
"11","43,321.536","268,556.070","butterfly","1","10","6,19","19,311.657","1,892.038","1,931.165","2,009.153","6","1","1","1660"
"12","43,327.608","268,549.998","norm","1","1","0,77","2,409.205","2,409.205","2,409.205","2,409.205","2","1","1","1660"
"13","43,632.666","267,940.883","bitReverse","1","1","2,83","8,811.311","8,811.311","8,811.311","8,811.311","4","1","1","1660"
"14","43,640.916","268,236.690","butterfly","1","10","6,19","19,304.554","1,895.173","1,930.455","2,006.370","6","1","1","1660"
"15","43,646.965","268,230.641","norm","1","1","0,6","1,867.526","1,867.526","1,867.526","1,867.526","2","1","1","1660"
