"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","33,322.945","269,557.299","spinFact","1","1","0,02","68.510","68.510","68.510","68.510","2","1","1","2592"
"2","33,330.708","269,546.888","transpose","1","2","1,78","5,398.778","2,688.749","2,699.389","2,710.029","3","1","1","2592"
"3","33,339.074","269,535.297","highPassFilter","1","1","0,61","1,863.015","1,863.015","1,863.015","1,863.015","3","1","1","2592"
"4","33,758.410","268,314.538","bitReverse","1","1","2,89","8,747.028","8,747.028","8,747.028","8,747.028","4","1","1","2592"
"5","33,767.455","269,205.931","butterfly","1","10","6,35","19,227.121","1,877.478","1,922.712","1,985.603","6","1","1","2592"
"6","33,774.153","402.885","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2592"
"7","34,206.021","268,064.450","bitReverse","1","1","2,94","8,917.230","8,917.230","8,917.230","8,917.230","4","1","1","2592"
"8","34,214.628","268,758.758","butterfly","1","10","6,37","19,310.896","1,866.150","1,931.089","2,007.139","6","1","1","2592"
"9","34,221.846","253.632","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","2592"
"10","34,501.431","267,962.147","bitReverse","1","1","2,91","8,817.938","8,817.938","8,817.938","8,817.938","4","1","1","2592"
"11","34,509.599","268,463.787","butterfly","1","10","6,37","19,308.464","1,888.742","1,930.846","2,012.418","6","1","1","2592"
"12","34,515.573","268,457.813","norm","1","1","0,8","2,409.366","2,409.366","2,409.366","2,409.366","2","1","1","2592"
"13","34,830.903","267,837.916","bitReverse","1","1","2,91","8,809.266","8,809.266","8,809.266","8,809.266","4","1","1","2592"
"14","34,839.036","268,134.350","butterfly","1","10","6,38","19,318.416","1,883.622","1,931.841","2,014.467","6","1","1","2592"
"15","34,845.089","268,128.297","norm","1","1","0,62","1,867.911","1,867.911","1,867.911","1,867.911","2","1","1","2592"
