"Kernel
ID","Creation Time
(μs)","Lifetime
(μs)","Kernel Name","Program
ID","Count","Device
%","Device Time
(μs)","Min
(μs)","Avg
(μs)","Max
(μs)","#
Arguments","#
WorkGroup Infos","Context
ID","Process
ID"
"1","33,056.412","267,877.714","spinFact","1","1","0,02","68.286","68.286","68.286","68.286","2","1","1","3080"
"2","33,065.438","267,865.763","transpose","1","2","1,78","5,361.980","2,677.326","2,680.990","2,684.654","3","1","1","3080"
"3","33,072.492","267,854.944","highPassFilter","1","1","0,62","1,862.087","1,862.087","1,862.087","1,862.087","3","1","1","3080"
"4","33,460.837","266,696.053","bitReverse","1","1","2,9","8,743.124","8,743.124","8,743.124","8,743.124","4","1","1","3080"
"5","33,470.238","267,557.942","butterfly","1","10","6,42","19,332.813","1,882.950","1,933.281","2,077.984","6","1","1","3080"
"6","33,476.775","407.141","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3080"
"7","33,912.262","266,435.094","bitReverse","1","1","2,93","8,817.073","8,817.073","8,817.073","8,817.073","4","1","1","3080"
"8","33,920.782","267,107.398","butterfly","1","10","6,41","19,299.184","1,862.631","1,929.918","2,002.211","6","1","1","3080"
"9","33,927.990","251.531","norm","1","0","0","0.000","0.000","0.000","0.000","2","1","1","3080"
"10","34,205.621","266,326.257","bitReverse","1","1","2,93","8,827.025","8,827.025","8,827.025","8,827.025","4","1","1","3080"
"11","34,213.920","266,814.260","butterfly","1","10","6,42","19,320.942","1,873.703","1,932.094","2,010.370","6","1","1","3080"
"12","34,220.017","266,808.163","norm","1","1","0,8","2,411.030","2,411.030","2,411.030","2,411.030","2","1","1","3080"
"13","34,529.928","266,199.185","bitReverse","1","1","2,92","8,804.081","8,804.081","8,804.081","8,804.081","4","1","1","3080"
"14","34,538.148","266,490.032","butterfly","1","10","6,42","19,323.151","1,874.214","1,932.315","2,005.443","6","1","1","3080"
"15","34,544.160","266,484.020","norm","1","1","0,62","1,866.662","1,866.662","1,866.662","1,866.662","2","1","1","3080"
